Agent_ID,Gender,Total_Kids,Status,Cause_of_Death,Year_of_Death,Final_Savings,Final_Energy,Marital_Regime
95,M,0,Dead,Starvation / Exhaustion,28,-9.83,-5,None
23,M,0,Dead,Starvation / Exhaustion,28,-8.9,-5,None
53,M,2,Dead,Starvation / Exhaustion,29,-7.08,-4,None
87,M,0,Dead,Starvation / Exhaustion,29,-8.41,-4,None
74,F,0,Dead,Starvation / Exhaustion,29,-7.0,-4,None
27,M,0,Dead,Starvation / Exhaustion,31,-9.63,-5,None
76,F,1,Dead,Starvation / Exhaustion,31,-8.2,-4,None
70,F,0,Dead,Starvation / Exhaustion,34,-7.82,-4,None
108,F,0,Dead,Starvation / Exhaustion,38,-10.4,-5,None
104,F,1,Dead,Starvation / Exhaustion,38,-14.67,-4,Separate
91,M,0,Dead,Starvation / Exhaustion,41,-8.25,-4,None
38,F,0,Dead,Starvation / Exhaustion,43,-21.62,-5,Separate
167,F,0,Dead,Starvation / Exhaustion,43,-23.0,18,Separate
21,M,0,Dead,Starvation / Exhaustion,44,-14.87,-5,None
26,F,3,Dead,Starvation / Exhaustion,44,-15.08,-5,Separate
168,F,0,Dead,Starvation / Exhaustion,46,-23.0,18,None
169,F,0,Dead,Starvation / Exhaustion,48,-23.0,18,None
170,F,0,Dead,Starvation / Exhaustion,49,-23.0,18,None
101,M,0,Dead,Starvation / Exhaustion,50,-5.87,-4,None
59,M,0,Dead,Starvation / Exhaustion,52,-9.05,-5,None
86,F,0,Dead,Starvation / Exhaustion,55,-18.72,-4,None
1,M,0,Dead,Starvation / Exhaustion,57,-10.3,-5,None
55,M,0,Dead,Biological Limit (Old Age),58,94.07,70,None
56,F,0,Dead,Biological Limit (Old Age),58,104.49,70,None
57,M,0,Dead,Biological Limit (Old Age),58,42.08,70,None
19,M,4,Dead,Starvation / Exhaustion,58,-7.42,-4,None
3,M,0,Dead,Biological Limit (Old Age),59,108.27,60,None
7,M,0,Dead,Biological Limit (Old Age),59,128.98,60,None
31,M,0,Dead,Biological Limit (Old Age),59,79.9,60,None
68,F,0,Dead,Biological Limit (Old Age),59,18.59,60,None
83,M,0,Dead,Biological Limit (Old Age),59,67.92,75,None
89,M,0,Dead,Biological Limit (Old Age),59,3.85,60,None
113,M,9,Dead,Biological Limit (Old Age),59,19.26,60,None
114,F,0,Dead,Biological Limit (Old Age),59,58.01,60,None
119,M,4,Dead,Biological Limit (Old Age),59,52.54,60,None
79,M,0,Dead,Biological Limit (Old Age),60,9.62,50,None
106,F,0,Dead,Biological Limit (Old Age),60,68.13,50,None
102,F,0,Dead,Biological Limit (Old Age),60,12.47,55,None
13,M,0,Dead,Biological Limit (Old Age),61,126.21,75,None
72,F,0,Dead,Biological Limit (Old Age),61,47.47,75,None
